category,method,n,accuracy,macro_f1_three_labels
irony,majority,20,0.0,0.0
irony,tfidf_lr,20,0.0,0.0
irony,zero_shot,20,0.95,0.3247863247863248
irony,few_shot,20,0.75,0.2857142857142857
mixed,majority,20,0.2,0.1111111111111111
mixed,tfidf_lr,20,0.4,0.3386243386243386
mixed,zero_shot,20,1.0,1.0
mixed,few_shot,20,1.0,1.0
negation,majority,20,0.25,0.13333333333333333
negation,tfidf_lr,20,0.5,0.48325791855203626
negation,zero_shot,20,0.9,0.875
negation,few_shot,20,1.0,1.0
quotation,majority,20,0.4,0.19047619047619047
quotation,tfidf_lr,20,0.45,0.32323232323232326
quotation,zero_shot,20,0.65,0.6369463869463869
quotation,few_shot,20,0.75,0.7521367521367521
typos,majority,20,0.3,0.15384615384615385
typos,tfidf_lr,20,0.45,0.3636363636363636
typos,zero_shot,20,1.0,1.0
typos,few_shot,20,1.0,1.0
