kind,mode,status_correct,evidence_precision,evidence_recall,evidence_f1,counterevidence_recall,both_correct,insufficient_correct,confident_when_insufficient,seconds,input_tokens,output_tokens,n_requests,n_valid
baseline,A,0.5833333333333334,0.5,0.3958333333333333,0.4301587301587302,0.5,0.5,1.0,0.0,15.318269500000193,14221.916666666666,138.83333333333334,12,12
baseline,B,0.5833333333333334,0.7291666666666666,0.5416666666666666,0.6041666666666666,1.0,1.0,1.0,0.0,6.327055966666649,1408.8333333333333,120.41666666666667,12,12
baseline,C,0.5833333333333334,0.7222222222222222,0.6041666666666666,0.6468253968253969,1.0,1.0,1.0,0.0,5.965705841666401,1510.5,129.83333333333334,12,12
contradiction,A,1.0,0.625,0.5208333333333334,0.5575396825396826,0.5833333333333333,1.0,1.0,0.0,10.84996563333334,14438.666666666666,185.66666666666666,12,12
contradiction,B,0.9166666666666666,0.625,0.4791666666666667,0.5277777777777778,0.6,1.0,0.5,0.0,6.4130661250000385,1417.1666666666667,133.08333333333334,12,12
contradiction,C,0.9166666666666666,0.5416666666666666,0.4375,0.47420634920634924,0.45,0.9,1.0,0.0,5.809637016666632,1513.5,134.66666666666666,12,12
deletion,A,0.75,0.08333333333333333,0.25,0.125,,,0.75,0.25,13.734204950000048,14139.0,122.0,4,4
deletion,B,0.25,0.375,0.5,0.41666666666666663,,,0.25,0.5,7.277439525000091,1406.5,157.75,4,4
deletion,C,0.0,0.375,0.5,0.41666666666666663,,,0.0,0.5,6.037276900000052,1505.5,135.5,4,4
permutation,A,0.25,0.4166666666666667,0.3333333333333333,0.3611111111111111,1.0,1.0,0.5,0.5,14.913671974999943,14221.916666666666,125.08333333333333,12,12
permutation,B,0.5833333333333334,0.7291666666666666,0.5416666666666666,0.6041666666666666,1.0,1.0,1.0,0.0,5.785184791666552,1408.8333333333333,117.41666666666667,12,12
permutation,C,0.5833333333333334,0.7222222222222222,0.6041666666666666,0.6468253968253969,1.0,1.0,1.0,0.0,5.456534908333197,1510.5,129.16666666666666,12,12
